Date,Average Flow,Average Temperature,Average Temperature (K),k
2021-08-01,577.63,17.23,290.38,3.335
2021-08-03,573.18,17.86,291.01,3.494
2021-08-04,587.46,17.78,290.93,3.474
2021-08-05,642.14,17.78,290.93,3.474
2023-08-01,662.52,17.23,290.38,3.335
2023-08-02,714.13,17.48,290.63,3.397
2023-08-03,707.66,17.86,291.01,3.494
2023-08-04,668.98,17.78,290.93,3.474
2023-08-05,661.26,17.78,290.93,3.474
2023-08-06,647.54,18.42,291.57,3.641
2023-08-08,563.91,18.94,292.09,3.783
2023-08-11,583.5,17.52,290.67,3.407
2023-08-12,618.93,18.31,291.46,3.612
2023-08-13,644.01,18.45,291.6,3.649
2023-08-15,696.54,19.39,292.54,3.909
2023-08-16,681.42,19.24,292.39,3.867
2023-08-17,700.05,18.75,291.9,3.73
2023-08-18,671.16,18.89,292.04,3.769
2023-08-19,627.95,16.16,289.31,3.08
2023-08-20,610.35,15.36,288.51,2.901
2023-08-27,595.07,17.07,290.22,3.296
